START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,39,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,39,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,39,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,40,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,40,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,40,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,40,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,41,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,41,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,41,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,41,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,42,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,42,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,42,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,42,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
